,Ticker,Price,Score,PE Ratio,PEG Ratio,SMA 100,SMA 200,52 Weeks Low,52 Weeks High
7,CI,313.2799987792969,96.32,15.04,1.14,309.43025482177734,288.08408012390134,213.16,340.11
0,ALB,285.8999938964844,94.04,21.68,0.32,265.11105209350586,249.34527160644532,169.93,334.55
9,HUM,513.280029296875,93.34,23.27,1.28,512.1173165893555,487.1834519958496,391.99,571.3
2,APA,43.400001525878906,92.74,4.11,0.19,43.1583723449707,40.82624846458435,29.95,51.95
6,CAT,249.5399932861328,90.95,18.16,1.69,216.84776718139648,205.68994895935057,160.6,266.04
4,AZO,2495.679931640625,88.17,21.39,1.36,2367.8003930664063,2242.119650878906,1703.32,2610.05
1,AMP,354.5299987792969,80.02,15.77,1.42,304.40455474853513,282.23225074768067,219.99,356.77
3,APD,318.1300048828125,80.02,31.59,1.86,280.3179341125488,260.8594257354736,216.24,328.56
10,INCY,85.5999984741211,80.02,21.78,0.62,76.37190017700195,75.85405025482177,65.07,86.29
8,CMI,250.91000366210935,78.13,18.68,1.6,234.2365951538086,219.14587654113768,184.28,254.47
5,BWA,48.27999877929688,69.68,14.03,0.66,39.21180274963379,38.052386646270755,31.14,48.52
